"business_name","business_address","business_city","business_state","business_zip","contact_name","primary_phone","email_address","major_field_of_operation","commodity_code_description"
"METRO VALVE & ACTUATION CORP.","26 JERICHO TURNPIKE, SUITE 2","NEW HYDE PARK","NY","11040","EMILY WALLDEN","(732)549-4111","EMILYM@METROVALVE.COM","WE ACT AS A WHOLESALE DISTRIBUTOR TO PROVIDE PRODUCTS AND SERVICES TO THE END USER AND CONTRACTORS SERVING HVAC, WATER AND WASTE WATER, POWER UTILITIES, OIL AND GAS. WE PARTNER WITH MULTIPLE VENDORS FOR EXCLUSIVE PROTECTION IN THE TERRITORY.","VALVES, ELECTRO PNEUMATIC"
"ISLAND PAVEMENT CUTTING CO., INC.","31 CLEVELAND AVE","BAY SHORE","NY","11706","MARISSA O'NEILL","(631)567-2711","INFO@ISLANDPAVEMENT.COM","SAW CUTTING, CORE DRILLING, JOINT SEALING, WATERPROOFING (PRE-APPLIED, SHEET MEMBRANE, CLE, FLUID APPLIED), PENETRATING AND COATING TYPE SEALERS, TRAFFIC COATING SYSTEMS AND ANTI-GRAFFITI COATINGS AND SHOTBLASTING FOR SURFACE PREPARATION.","CORN  |  WATERPROOFING MEMBRANE AND BASE SHEET  |  CONSTRUCTION SERVICES, HEAVY, INCLUDING MAINTENANCE AND REPAIR SERVICES  |  CONSTRUCTION: AIRPORT ROADWAY, RUNWAY AND TAXIWAY  |  CONSTRUCTION, HIGHWAY AND ROAD  |  CONSTRUCTION, TUNNEL  |  MAINTENANCE AND REPAIR: AIRPORT ROADWAY, RUNWAY AND TAXIWAY  |  MAINTENANCE AND REPAIR, BRIDGES  |  MAINTENANCE AND REPAIR, HIGHWAY AND ROADS, INCLUDING REMOVAL OF ASPHALT, CONCRETE, BITUMENS, ETC.  |  MAINTENANCE AND REPAIR, STREETS, MAJOR AND RESIDENTIAL  |  MAINTENANCE AND REPAIR, VIADUCT  |  CONCRETE  |  TRADE SERVICES, CONSTRUCTION, (NOT OTHERWISE CLASSIFIED)"
"CARTER MILCHMAN & FRANK INC (AKA) CARTER, MILCHMAN & FRANK INC","28-10 37TH AVENUE","LOMG ISLAND CITY","NY","11101","LESLIE BALTES","(718)361-2300","LESLIE@CMFTOOL.COM","CARTER, MILCHMAN & FRANK IS A CONSTRUCTION MATERIAL SUPPLIER WHO OPERATES IN NYC AND NJ.","PLASTICS, RESINS, FIBERGLASS: CONSTRUCTION, FORMING, LAMINATING, AND MOLDING EQUIPMENT, ACCESSORIES, AND SUPPLIES"
"AUSSIE PAINTING CORP.","288 PARK AVE","MANHASSET","NY","11030","IRENE VELLIOS","(516)524-9967","VELLIOSIRENE@YAHOO.COM","CLEANING, LEAD ABATEMENT AND PAINTING OF BRIDGES AND SUPERSTRUCTURES.","AGRICULTURAL CROPS AND GRAINS, PURCHASED LOCALLY  |  BARLEY"
"CARE SECURITY SYSTEMS INC.","9 HEMION RD","MONTEBELLO","NY","10901","DOLSA SCHWAB","(845)354-3367","RSCHWAB@CARE-INC.COM","CARE SECURITY SYSTEMS HAS BEEN PROVIDING ENTERPRISE-LEVEL COMMERCIAL SECURITY SYSTEMS TO A WIDE RANGE OF INDUSTRIES ? FROM GOVERNMENT, MANUFACTURING AND RETAIL, TO HEALTHCARE, TRANSPORTATION AND UTILITIES.","ACOUSTICAL TILE, INSULATING MATERIALS, AND SUPPLIES  |  ACCESS CONTROL SYSTEMS AND SECURITY SYSTEMS  |  CONSOLES AND RACKS, SECURITY  |  SECURITY SYSTEMS; INTRUDER AND SMOKE DETECTION, ARCHITECTURAL SERVICES  |  C.I.P., SECURITY SYSTEM  |  NETWORKING SERVICES, INCLUDING INSTALLATION, SECURITY, AND MAINTENANCE  |  SECURITY AND ACCESS SYSTEMS MAINTENANCE AND REPAIR  |  SECURITY AND ACCESS SYSTEMS, AIRPORT, LIBRARY, HOSPITALS, ETC. RENTAL OR LEASE  |  CARD ACCESS SECURITY SERVICES"
"M & A METALS INC (AKA) M&A METALS INC. D/B/A INTERIOR METALS","255 48TH STREET","BROOKLYN","NY","11220","ANTONELLA TOMMASI","(718)439-7324","TONI@INTERIORMETALS.COM","CONVECTOR COVERS CLADDING PLANTERS ARCHITECTURAL GRILLES, RAILINGS AND STAIRCASES LANDSCAPE EDGINGS A/C SLEEVES WALL PANELS AND PATTERNS GREEN WALLS SCREENS OF ALL SIZES AND PATTERNS UL LISTED/NEMA ELECTRICAL BOXES ORNAMENTAL FABRICATION","CHEMICALS AND SUPPLIES, DUPLICATING MACHINES"
"ABT PRODUCTS & SERVICES LTD","37 NEWTOWN RD., 369 RIDGE ST., NEWARK, NJ","PLAINVIEW","NY","11803","LISA HORCHOS","(631)421-1500","LHORCHOS@ABT-PRODUCTS.COM","ABT HAS 3 MAJOR AREAS OF OPERATION:
1. WHOLESALE SUPPLIER
2. EQUIPMENT RENTALS
3. LOW VOLTAGE ELECTRICAL INSTALLATIONS","JANITORIAL SUPPLIES, GENERAL LINE"
"MAUREEN DATA SYSTEMS INC","500 WEST 43RD STREET, SUITE 33C","NEW YORK","NY","10036","MAUREEN LANDE","(212)290-1557","MLANDE@MDSNY.COM","IT PRODUCTS, MANAGED SERVICES, PROFESSIONAL SERVICES, IMPLEMENTATION, & CONSULTING.","COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS  |  DATA/FILE SECURITY HARDWARE/SOFTWARE, TO INCLUDE ENCRYPTION  |  DRIVES, EXTERNAL; JUMP DRIVES, FLASH DRIVES, THUMB DRIVES, USB DRIVES, ETC.  |  EXPANSION/ACCELERATOR BOARDS: HARD DRIVE CONTROLLER CARDS, MEMORY, PROCESSOR, SCSI, VIDEO CARDS, ETC.  |  INTEGRATED HARDWARE-SOFTWARE I.T. SOLUTION, MICROCOMPUTER  |  MICROCOMPUTERS, DESKTOP OR TOWERBASED  |  MICROCOMPUTERS, LAPTOP, NOTEBOOK AND TABLETS  |  MONITORS, COLOR AND MONOCHROME (CGA, VGA, SVGA, LCD, ETC.)  |  NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, SWITCHES, TRANSCEIVERS, ETC.  |  PRINTERS, INKJET  |  SERVERS, MICROCOMPUTER: APPLICATION, DATABASE, FILE, MAIL, NETWORK, WEB, ETC.  |  COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS, ENVIRONMENTALLY CERTIFIED BY AN AGENCY ACCEPTED CERTIFICATION ENTITY  |  COMPUTER HARDWARE AND PERIPHERALS FOR MAINFRAMES AND SERVERS  |  COMPUTER SOFTWARE FOR MICROCOMPUTERS, SYSTEMS, INCLUDING CLOUD-BASED (PREPROGRAMMED)  |  UTILITIES: BACK-UP, BATCH FILE, MENUS, NETWORK MANAGEMENT, OPERATING SYSTEM, RECOVERY, SCREEN, SECURITY, VIRUS PROTECTION, ETC., MAINFRAMES AND SERVERS  |  MAINTENANCE AND REPAIR, COMPUTER EQUIPMENT, CIS  |  CONSULTING SERVICES  |  COMPUTER SOFTWARE CONSULTING  |  COMPUTER NETWORK CONSULTING  |  APPLICATION, INFRASTRUCTURE, HOSTING AND CLOUD COMPUTING SERVICES, VENDOR HOSTED AND INTERNALLY HOSTED  |  INSTALLATION OF COMPUTERS, PERIPHERALS, AND RELATED EQUIPMENT (INCLUDING SOFTWARE)  |  COMPUTER HARDWARE MANUFACTURING SERVICES  |  PROFESSIONAL SERVICES, SUBCONTRACTOR AND CONTRACTOR >$25,000"
"GENESYS CONSULTING SERVICES INC.","1 MARCUS BLVD , SUITE 102","ALBANY","NY","12205","CATHY BRUSCHI","(518)459-9500","OFFICE@GENESYSONLINE.COM","GENESYS IS AN INFORMATION TECHNOLOGY STAFFING AND CONSULTING FIRM WITH A 34 YEAR HISTORY OF SUPPLYING IT PROFESSIONALS TO GOVERNMENT AGENCIES AND PRIVATE BUSINESSES PRIMARILY IN THE CAPITAL DISTRICT AND THE CITY OF NEW YORK.","IT CONSULTING, (NOT OTHERWISE CLASSIFIED)  |  PERSONNEL AND EMPLOYMENT CONSULTING, HUMAN RESOURCES (INACTIVE, PLEASE SEE COMMODITY CODE 918-65 EFFECTIVE JANUARY 1, 2016)  |  DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES  |  PROGRAMMING SERVICES, COMPUTER, INCLUDING MOBILE DEVICE APPLICATIONS"
"INDOOR AIR TECHNOLOGIES INC","61 SCHOOL STREET, SUITE B","VICTOR","NY","14564","REBECCA MELTON","(585)924-2010","DANIELLE@IATCORPUSA.COM","HVAC DUCT CLEANING","AIR DUCT CLEANING SERVICES  |  CONSTRUCTION SERVICES, TRADES, NEW CONSTRUCTION"
"HORTON LEES BROGDEN LIGHTING DESIGN INC.","38 E 32ND STREET, 11TH FLOOR","NEW YORK","NY","10016","ELIZABETH NILSEN","(212)674-5580","HLBDBE@HLBLIGHTING.COM","ARCHITECTURAL LIGHTING DESIGN CONSULTANTS","COUNTERS, ACRE  |  PROCESSING MACHINERY AND EQUIPMENT AGRICULTURAL ENVIRONMENTAL: ANEROBIC DIGESTERS, WASTE TO ENERGY  |  LIGHTING, INTERIOR, EXTERIOR, ARCHITECTURAL SERVICES"
"W.H. KASSNER, INC.","9 WEST SHORE DRIVE","TOMKINS COVE","NY","10986","ELEANOR  KASSNER","(845)786-5515","OFFICE@WHKASSNER.COM","W.H. KASSNER, INC. IS A MISCELLANEOUS METAL FABRICATOR OF STAIRS, RAILINGS, PLATFORMS, CANOPIES, LADDERS AND MORE. WHK WORKS IN STEEL, STAINLESS STEEL AND ALUMINUM.  WHK SPECIALIZES IN WASTEWATER AND WATER TREATMENT PLANT PUBLIC WORKS PROJECTS.",
"ADCO ELECTRICAL CORP.","201 EDWARD CURRY AVENUE","STATEN ISLAND","NY","10314","CHARLOTTE STURGIS","(347)416-2814","CSTURGIS@ADCOONLINE.COM","ADCO ELECTRICAL CORP. IS A FULL-SERVICE ELECTRICAL & TELECOMMUNICATIONS SERVICES FIRM PROVIDING A RANGE OF SOLUTIONS DESIGNED TO ASSIST OUR CLIENTS IN TODAY'S RAPIDLY CHANGING ENVIRONMENT.",
"KLEINBERG ELECTRIC INC.","850 THIRD AVE SUITE 405","BROOKLYN","NY","11232","CAROL KLEINBERG","(212)206-1140","CAROL@KLEINBERGELECTRIC.NET","ELECTRICAL CONSTRUCTION SERVICES",
"SITEWORKS LLC (AKA) SITEWORKS LANDSCAPE ARCHITECTURE, LLC","150 WEST 28TH STREET, SUITE 605","NEW YORK","NY","10001","ANNETTE WILKUS","(203)246-8352","JGOLD@SITEWORKSCM.COM","SITEWORKS OFFERS LANDSCAPE ARCHITECTURE, CONSTRUCTION MGT SERVICES, CONSTRUCTABILITY REVIEWS, MASTER PLANNING, O+M,VE, COST ESTIMATING",
"MOHAWK VALLEY MATERIALS INC","1501 E. DOMINICK STREET","ROME","NY","13440","TRICIA RUTKOWSKI","(315)507-2538","TR@MOHAWKVALLEYMATERIALS.COM","HORIZONTAL CONSTRUCTION, LAND CLEARING, SITE PREPARATION, GRUBBING, VEGETATION MANAGEMENT, DEPOSIT REMOVALS, STORM DEBRIS CLEAN UP","SITE WORK (INCL. SITE CLEAN-UP)  |  CLEARING AND GRUBBING SERVICES  |  CONSTRUCTION, GENERAL: BACKFILL SERVICES, DIGGING, DITCHING, ROAD GRADING, ROCK STABILIZATION, ETC.  |  CONSTRUCTION, HIGHWAY AND ROAD  |  TRADE SERVICES, CONSTRUCTION, (NOT OTHERWISE CLASSIFIED)  |  FORESTRY SERVICES  |  CONSERVATION SERVICES, FOREST  |  FORESTRY ECONOMIC AND MARKETING SERVICES, INCLUDING FORESTRY RESOURCES SERVICES  |  LOGGING SERVICES  |  TREE AND SHRUB REMOVAL SERVICES"
"GRAMERCY GROUP INC","3000 BURNS AVE.","WANTAGH","NY","11793","JOANNA PARZIALE","(516)876-0020","JPARZIALE@GRAMERCYUSA.COM","ASBESTOS ABATEMENT
DEMOLITION
UNIVERSAL WASTE REMOVAL
SITEREMEDIATION/SOIL REMEDIATION
CIVIL WORK
EXCAVATION/BACKFILL
SITE RESTORATION
GENERAL CONTRACTING
CLEANING
DISINFECTING","DRYING EQUIPMENT, GRAIN  |  ASBESTOS ABATEMENT EQUIPMENT AND SUPPLIES  |  DEMOLITION SERVICES"
"MONTANA DATACOM INC","1723 ROUTE 17A, BUILDING #2","FLORIDA","NY","10921","JENNIFER MUHLRAD","(718)482-6789","GENERAL@MONTANADATA.COM","DISTRIBUTOR OF AMERICAN-MADE ELECTRICAL DATA, TRANSIT, TELEPHONE, VIDEO, FIRE ALARM, SECURITY AND INDUSTRIAL PRODUCTS","ELECTRICAL CABLE AND WIRE, NOT ELECTRONIC  |  APPLIANCE, FIXTURE, AND PORTABLE CABLE AND WIRE, (UP TO 600V: TYPES S, SJ, SJO, SO, SPT, TF, TFF, ETC.  |  BARE CABLE AND WIRE: TYPE ACSR, BARE COPPER, BARE ALUMINUM, ETC.  |  BUILDING CABLE AND WIRE, SINGLE AND MULTICONDUCTOR: TYPES NM, THWN, TW, THW, THHN, XHHW, RHW, RR, ROMEX, ETC.  |  COMMUNICATION AND TELECOMMUNICATION CABLE AND WIRE, INCLUDING FIBER CABLE  |  CONTROL CABLE AND WIRE: SOLID AND STRANDED, SINGLE AND MULTICONDUCTOR, UP TO 600V, FOR USE IN BOILER CONTROLS, FIRE ALARMS, MOTORS, ETC.  |  WEATHERPROOF CABLE AND WIRE: SOLID AND STRANDED, SINGLE AND MULTICONDUCTOR, ALUMINUM AND COPPER: TYPES RR, WP, ETC.  |  WIRE AND CABLE (NOT OTHERWISE CLASSIFIED)  |  ELECTRICAL EQUIPMENT AND SUPPLIES, EXCEPT CABLE AND WIRE  |  CONDUIT AND FITTINGS, EMT (ELECTRICAL METALLIC, TUBING)  |  ELECTRONIC EQUIPMENT, COMPONENTS, PARTS, AND ACCESSORIES (SEE CLASS 730 FOR TESTING OR ANALYZING TYPE)  |  WIRE AND CABLE, ELECTRONIC: AUDIO, COAXIAL, HOOK-UP, LEAD-IN, ETC."
"SELLDORF ARCHITECTS, LLC","860 BROADWAY, 2ND FLOOR","NEW YORK","NY","10003","CATHY VERA","(212)219-9571","CATHY@SELLDORF.COM","ARCHITECTURAL SERVICES","ARCHITECTURAL SERVICES, PROFESSIONAL  |  ARCHITECT SERVICES, PROFESSIONAL, (NOT OTHERWISE CLASSIFIED), INCLUDING CONSULTING  |  BUILDINGS, ARCHITECTURAL DESIGN SERVICES  |  DESIGN BUILD, ARCHITECTURAL SERVICES (INACTIVE, EFFECTIVE JANUARY 1, 2016)  |  GRAPHIC DESIGN, ARCHITECTURAL SERVICES  |  INTERIOR DESIGN, DECORATING, SPACE PLANNING, EXHIBITS AND DISPLAYS  |  PLANNING, SITE, INSTALLATION AND PROJECT"
"ATRIUM STAFFING LLC","387 PARK AVE S","NEW YORK","NY","10016","ALEXIS BENCE","(732)515-7363","CONTRACTMANAGEMENT@ATRIUMWORKS.COM","TEMPORARY STAFFING AND DIRECT HIRE RECRUITMENT SERVICES","MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED)"
"MURPHY BURNHAM & BUTTRICK ARCHITECTS LLP","48 WEST 37TH STREET , 14TH FLOOR","NEW YORK","NY","10018","MARY  BURNHAM","(212)768-7676","MARKETING@MBBARCH.COM","ARCHITECTURE SERVICES, DESIGN SERVICES, ETC.","COUNTERS, ACRE"
"SYRSTONE, INC.","7395 TAFT PARK DRIVE","EAST SYRACUSE","NY","13057","BETH BELLINGER","(315)458-7723","BETH@SYRSTONE.COM","PRIMARLY A SUBCONTRACTOR FOR THE HIGHWAY INDUSTRIAL. WE SPECALIZE IN GRANITE CURB, UNIT PAVING, BRIDGE DECK GROOVING, RUMBLE STRIPS, AND CONCRETE","GRANITE, ROUGH DIMENSION AND BUILDING  |  ROAD AND HIGHWAY BUILDING MATERIALS, NON ASPHALTIC  |  PAVER BLOCK INSTALLATION"
"RENAISSANCE EDUCATIONAL CONSULTANTS CORPORATION (AKA) RENAISSANCE GROUPS","70 SULLIVAN STREET","CAZENOVIA","NY","13035","SANDRA PABEN","(518)441-5605","SANDYPABEN@RENAISSANCEGROUPS.COM","RENAISSANCE EDUCATIONAL CONSULTANT (DBA RENAISSANCE GROUPS) PROVIDES COMMUNITY OUTREACH AND COMPLIANCE SERVICES THAT TRACKS MWBE EXPENSES, HIRING GOALS AS WELL AS SECTION 3 GOALS ON CONSTRUCTION AND REHAB PROJECT THAT REQUIRE IT.","PROFESSIONAL: COMPUTER TRAINING, E-LEARNING, HOSPITAL/PHARMACY, LEGAL, ETC. SOFTWARE, MICROCOMPUTER  |  CONTRACTOR COMPLIANCE MONITORING SERVICES  |  CONSULTING SERVICES"
"AIROSMITH,INC. (AKA) AIROSMITH DEVELOPMENT","318 WEST AVENUE","SARATOGA SPRINGS","NY","12866","MARGARET  SMITH","(518)306-1711","MSMITH@AIROSMITHDEVELOPMENT.COM","PROFESSIONAL SERVICES","RADIO COMMUNICATION AND TELECOMMUNICATION TESTING, MEASURING, AND ANALYZING EQUIPMENT, ACCESSORIES AND SUPPLIES"
"MATHEWS NIELSEN LANDSCAPE ARCHITECTS, P.C.","120 BROADWAY, SUITE 1040","NEW YORK","NY","10271","KATRINA WILLIAMS","(212)431-3609","KWILLIAMS@MNLANDSCAPE.COM","LANDSCAPE ARCHITECTURAL DESIGN, MASTER PLANNING, URBAN DESIGN","ARCHITECTURAL SERVICES, PROFESSIONAL"
"CONCEPT PRINTING, INC. (AKA) CONCEPT PRINT","40 LYDECKER STREET","NYACK","NY","10960","KERRY MONAHAN GAUGHAN","(845)353-4040","KELLEY@CONCEPTPRINT.COM","FULL SERVICE PRINTER AND PROMOTIONAL PRODUCTS DISTRIBUTOR","NOVELTIES, PROMOTIONAL AND SPECIALTY PRODUCTS, INCLUDING BIODEGRADABLE  |  DISPLAY, EXHIBIT, AND PROMOTIONAL MATERIALS  |  PRINTING AND TYPESETTING SERVICES  |  BUSINESS CARDS PRINTING  |  CARD PRINTING: TAB, POST, FORM, ETC.  |  CONTINUOUS FORM PRINTING  |  DIGITAL PRINTING  |  ENVELOPE AND MAILER PRINTING  |  IMPRINTING SERVICES  |  INTAGLIO PRINTING (E.G., THE PROCESS BY WHICH U.S. CURRENCY IS PRINTED): BIRTH CERTIFICATES, CAR TITLES, ETC.  |  PRINTING ON RECYCLED STOCK  |  RECEIPT AND VOUCHER BOOK PRINTING"
"CERTIFIED SITE SAFETY OF NY LLC","99 LAFAYETTE AVENUE","WHITE PLAINS","NY","10603","DENISE GRONEMAN","(914)437-5454","INFO@CERTIFIEDSITESAFETY.COM","WE ARE A FULL SERVICE SITE SAFETY MANAGEMENT, INSPECTION, SAFETY DESIGNS AND PROGRAMS, TRAINING FIRM, SERVICING PUBLIC WORKS PROJECTS AND PRIVATE CONTRACTORS IN THE CONSTRUCTION ESTATE INDUSTRIES THROUGHOUT THE TRI-STATE AREA.","SAFETY ENGINEERING AND ACCIDENT STUDIES; OSHA STUDIES  |  CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED)  |  SECURITY AND SAFETY CONSULTING  |  SAFETY SERVICES, ENVIRONMENTAL  |  INSPECTION SERVICES, CONSTRUCTION TYPE  |  FIRE ALARM AND SAFETY SERVICES, INCLUDING INSTALLATION OF EQUIPMENT"
"TECH VALLEY TALENT LLC","20 PROSPECT STREET, BLDG. 1, STE. 200","BALLSTON SPA","NY","12020","RENEE ROTH-ONEIL","(518)339-2845","TECH@TECHVTAL.COM","IT PROFESSIONAL SERVICES","CONSULTING SERVICES  |  COMPUTER SOFTWARE CONSULTING  |  DISADVANTAGED BUSINESS ENTERPRISE (DBE) OR HISTORICALLY UNDERUTILIZED BUSINESS (HUB) CONSULTING INCLUDING TECHNICAL ASSISTANCE  |  IT CONSULTING, (NOT OTHERWISE CLASSIFIED)  |  MINORITY, WOMEN, VETERAN AND SMALL BUSINESS CONSULTING  |  PROCUREMENT CONSULTING, INCLUDING SPECIFICATION DEVELOPMENT AND CONTRACT CONSULTING  |  QUALITY ASSURANCE AND CONTROL CONSULTING  |  DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES  |  COMPUTER MANAGEMENT SERVICES  |  PROJECT MANAGEMENT SERVICES  |  RECORDS MANAGEMENT SERVICES, INCLUDING DOCUMENT MANAGEMENT SERVICES AND TECHNOLOGY INTEGRATION"
"WBE PRODUCTS CORP","53 TOWER LANE","LEVITTOWN","NY","11756","MARIE STAUB","(718)753-2287","MARIE@WBEPRODUCTS.COM","SUPPLIERS OF CUSTOM ARCHITECTURAL AND ORNAMENTAL METALS AND GLAZING PRODUCTS.","POTATOES  |  GLASS AND GLAZING SUPPLIES  |  HARDWARE AND RELATED ITEMS  |  MANUFACTURING COMPONENTS AND SUPPLIES  |  METAL: BARS, PLATES, RODS, SHEETS, STRIPS, STRUCTURAL SHAPES, TUBING, AND FABRICATED ITEMS  |  ARCHITECTURAL SERVICES, PROFESSIONAL  |  BUILDING CONSTRUCTION SERVICES, NEW, INCLUDING MAINTENANCE AND REPAIR SERVICES  |  CONSTRUCTION SERVICES, TRADES, NEW CONSTRUCTION  |  CONSULTING SERVICES  |  MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED)  |  MISCELLANEOUS SERVICES, NO. 2  (NOT OTHERWISE CLASSIFIED)  |  PRODUCTION AND MANUFACTURING SERVICES"
"LISA SHAMUS AND ASSOCIATES LLC (AKA) LISA SHAMUS & ASSOCIATES","1 CENTRAL PARK WEST, APT 43D","NEW YORK","NY","10023","LISA SHAMUS","(310)424-3293","MKEMELBAEVA@AGS-LA.COM","BRANDING, LICENSING, MARKETING AND PROMOTIONAL NEEDS","MARKETING CONSULTING"
"ACCOUNTING FIRM OF SUSAN A RICH (AKA) LONG ISLAND FINANCIAL MANAGEMENT SERVICES","3280 SUNRISE HWY #365","WANTAGH","NY","11793","SUSAN RICH","(516)557-2325","SUSANRICHCPA@LIFMS.COM","CPA FIRM PROVIDING PUBLIC SECTOR AUDIT AND CONSULTING","ACCOUNTING/FINANCIAL: BOOKKEEPING, BILLING AND INVOICING, BUDGETING, PAYROLL, TAXES, ETC., MICROCOMPUTER  |  ACCOUNTING, AUDITING, BUDGET CONSULTING  |  ACCOUNTING SERVICES (NOT OTHERWISE CLASSIFIED)  |  AUDIT SERVICES  |  CERTIFIED PUBLIC ACCOUNTANT (CPA) SERVICES  |  FINANCIAL SERVICES (NOT OTHERWISE CLASSIFIED)"
"GDB GEOSPATIAL LS, INC. (AKA) GDB GEOSPATIAL LS, P.C.","88 DURYEA ROAD","MELVILLE","NY","11747","CHRISTINE GAYRON","(516)579-3111","CGAYRON@GDBGEOSPATIAL.COM","GDB PROVIDES GEOSPATIAL CONSULTING SERVICES INCLUDING LAND SURVEYING, LASER SCANNING, GIS SERVICES, 3D MODELING, CONSTRUCTION SURVEYING, UTILITY MARKOUT, PHOTOGRAMMETRY. 70% OF OUR WORK IS FOR GOVERNMENT AGENCIES AND 30% IS FOR PRIVATE ENTITIES.","SURVEYING AND GEOGRAPHICAL INFORMATION SYSTEMS (GIS) SOFTWARE, MAINFRAMES AND SERVERS  |  MARKERS, PLAQUES AND TRAFFIC CONTROL DEVICES  |  AIRCRAFT AND AIRPORT OPERATIONS SERVICES  |  AERIAL SURVEYS AND MAPPING SERVICES (SEE 962-52 FOR STANDARD SURVEY AND MAPPING SERVICES)  |  CONSULTING SERVICES  |  ANALYTICAL PREDICTIVE STUDIES AND SURVEYS CONSULTING  |  ENGINEERING SERVICES, PROFESSIONAL  |  MARINE CONSTRUCTION AND RELATED SERVICES; MARINE EQUIPMENT MAINTENANCE AND REPAIR  |  MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED)  |  MISCELLANEOUS SERVICES, NO. 2  (NOT OTHERWISE CLASSIFIED)"
"KAG ENGINEERING LLC","210 SUYDAM LN","BAYPORT","NY","11705","KARA BLANCHARD","(631)576-7633","KB@KAGEPC.COM","PROFESSIONAL ENGINEERING SERVICES","FERTILIZER APPLICATORS AND FITTINGS: LIQUID AND GAS  |  ENGINEERING SERVICES, PROFESSIONAL  |  TRAFFIC AND TRANSPORTATION ENGINEERING"
"AMG DEMOLITION INC.","152 TOLEDO STREET","FARMINGDALE","NY","11735","JOAN CAPOBIANCO","(631)592-2858","JAIME@AMG-DEMOLITION.COM","DEMOLITION AND REMOVALS","SITE WORK (INCL. SITE CLEAN-UP)  |  CONSTRUCTION SERVICES, GENERAL, INCLUDING MAINTENANCE AND REPAIR SERVICES)  |  DEMOLITION SERVICES  |  EXCAVATION SERVICES  |  CONSTRUCTION SERVICES, HEAVY, INCLUDING MAINTENANCE AND REPAIR SERVICES"
"INSIGHT CIVIL ENGINEERING LLC","26 BROADWAY, 3RD FLOOR","NEW YORK","NY","10004","MICHELLE RYCKMAN","(844)884-9664","MICHELLE.RYCKMAN@INSIGHTCIVIL.COM","CIVIL ENGINEERING, CAD DRAFTING, COST ESTIMATION, CONSULTING","FERTILIZER APPLICATORS AND FITTINGS: LIQUID AND GAS  |  FEASIBILITY STUDIES, CONSULTING  |  URBAN PLANNING CONSULTING  |  COMPUTER AIDED DESIGN (CAD) SERVICES  |  ENGINEERING SERVICES, PROFESSIONAL  |  CIVIL ENGINEERING  |  DRAINAGE ENGINEERING  |  ENGINEER SERVICES, PROFESSIONAL (INACTIVE, EFFECTIVE JANUARY 1, 2016)  |  ENVIRONMENTAL ENGINEERING  |  ENGINEERING SERVICES (NOT OTHERWISE CLASSIFIED)  |  GENERAL CONSTRUCTION: MANAGEMENT, SCHEDULING, COST ESTIMATION ENGINEERING  |  HIGHWAYS, STREETS, AIRPORT PAY-PARKING LOTS ENGINEERING  |  IRRIGATION; DRAINAGE; FLOOD CONTROL ENGINEERING  |  LAND DEVELOPMENT AND PLANNING ENGINEERING  |  POLLUTION CONTROL ENGINEERING  |  VALUE ENGINEERING AND VALUE ANALYSIS, PROFESSIONAL  |  TRAFFIC AND TRANSPORTATION ENGINEERING"
"CTG LOGISTICS INC","241 37TH STREET, SUITE 1-4-B443","BROOKLYN","NY","11232","SUZANNE SLININ","(17)182-281482","SUZANNE@CTG-LOGISTICS.COM","PROVIDES GROUND TRANSPORTATION SERVICES TO THE RESIDENTS OF NEW YORK TRI-STATE AREA.","AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (INCLUDING TRAILERS)  |  PASSENGER VEHICLES, ELECTRIC  |  AUTOMOBILES, SCHOOL BUSES, SUVS, AND VANS, INCLUDING DIESEL, GASOLINE, ELECTRIC, HYBRID, AND ALL OTHER FUEL TYPES  |  AUTOMOBILES  |  TRANSPORTATION CONSULTING"
"STAFFING BOUTIQUE, INC","99 HUDSON STREET , 5TH FLOOR","NEW YORK","NY","10013","KATHERINE  WARNOCK","(646)706-5330","KATIE@STAFFINGBOUTIQUE.ORG","STAFFING BOUTIQUE PROVIDES SHORT TERM AND LONG TERM STAFFING PLACEMENTS FOR ALL INDUSTRY. OUR MISSION IS TO MAKE YOUR STAFFING NEEDS SEAMLESS. WE HAVE SERVED NY AND NJ SINCE 2011.","PERSONNEL AND EMPLOYMENT CONSULTING, HUMAN RESOURCES (INACTIVE, PLEASE SEE COMMODITY CODE 918-65 EFFECTIVE JANUARY 1, 2016)  |  EMPLOYMENT AGENCY AND SEARCH FIRM SERVICE, INCLUDING BACKGROUND INVESTIGATIONS AND DRUG TESTING FOR EMPLOYMENT  |  PERSONNEL SERVICES, TEMPORARY"
